"","transf","rss","adjusted_r","aic","kappa","cp"
"1","boxcox","21.0110741279803","0.838129789387274","104.49712417153","17.2474423100918","-36.3465815406855"
"2","bickeldoksum","21.0109825915739","0.838129784746878","104.496923768455","17.2474423100918","-36.3466061702502"
"3","logshiftopt","0.863680345582589","0.835234200178432","-42.316576438797","17.2474423100918","-41.7676108142343"
"4","yeojohnson","12.7361912175546","0.837028714100028","81.4694323911334","17.2474423100918","-38.5730919755884"
"5","sqrtshift","4.3249907625044","0.837488646823204","31.7877010253752","17.2474423100918","-40.836281169436"
"6","manly","49.8497096296371","0.833521199567024","144.239423705745","17.2474423100918","-28.5870127869208"
"7","modulus","12.7361912175687","0.837028714100028","81.4694323911843","17.2474423100918","-38.5730919755846"
"8","dual","14.8784722883299","0.840437582080658","88.6209471619307","17.2474423100918","-37.9966715947554"
"9","gpower","32.3748540593535","0.836682870751716","124.384413377087","17.2474423100918","-33.2889461794328"
"10","log","5.48617388984201","0.802879434566555","42.7274709117714","17.2474423100918","-40.5238433527518"
"11","glog","4.38737653543591","0.815820539513927","32.4464874392565","17.2474423100918","-40.819495122319"
"12","neglog","2.83747727232646","0.825344182071655","12.3989479753736","17.2474423100918","-41.236524211397"
"13","reciprocal","2.41796361833992","0.528002869761769","5.03942328776431","17.2474423100918","-41.3494021262021"
